Provincias;Zona;Tipo de vivienda;Sexo;Zonas;Total
Araba/Álava;Total;Población Total;Total;Total urbano;223.046
Araba/Álava;Total;Población Total;Total;Zona rural;36.184
Albacete;Total;Población Total;Total;Total urbano;198.110
Albacete;Total;Población Total;Total;Zona rural;78.951
Alicante/Alacant;Total;Población Total;Total;Total urbano;959.345
Alicante/Alacant;Total;Población Total;Total;Zona rural;114.151
Almería;Total;Población Total;Total;Total urbano;188.654
Almería;Total;Población Total;Total;Zona rural;121.421
Ávila;Total;Población Total;Total;Total urbano;45.362
Ávila;Total;Población Total;Total;Zona rural;89.049
Badajoz;Total;Población Total;Total;Total urbano;265.146
Badajoz;Total;Población Total;Total;Zona rural;124.658
Balears (Illes);Total;Población Total;Total;Total urbano;383.149
Balears (Illes);Total;Población Total;Total;Zona rural;94.311
Barcelona;Total;Población Total;Total;Total urbano;3.991.880
Barcelona;Total;Población Total;Total;Zona rural;228.587
Burgos;Total;Población Total;Total;Total urbano;222.355
Burgos;Total;Población Total;Total;Zona rural;110.314
Cáceres;Total;Población Total;Total;Total urbano;134.419
Cáceres;Total;Población Total;Total;Zona rural;153.747
Cádiz;Total;Población Total;Total;Total urbano;855.313
Cádiz;Total;Población Total;Total;Zona rural;69.380
Castellón/Castelló;Total;Población Total;Total;Total urbano;305.438
Castellón/Castelló;Total;Población Total;Total;Zona rural;77.430
Ciudad Real;Total;Población Total;Total;Total urbano;267.986
Ciudad Real;Total;Población Total;Total;Zona rural;63.467
Córdoba;Total;Población Total;Total;Total urbano;474.479
Córdoba;Total;Población Total;Total;Zona rural;89.033
Coruña (A);Total;Población Total;Total;Total urbano;403.513
Coruña (A);Total;Población Total;Total;Zona rural;575.649
Cuenca;Total;Población Total;Total;Total urbano;53.294
Cuenca;Total;Población Total;Total;Zona rural;97.010
Girona;Total;Población Total;Total;Total urbano;211.149
Girona;Total;Población Total;Total;Zona rural;144.144
Granada;Total;Población Total;Total;Total urbano;393.268
Granada;Total;Población Total;Total;Zona rural;189.952
Guadalajara;Total;Población Total;Total;Total urbano;70.801
Guadalajara;Total;Población Total;Total;Zona rural;59.427
Gipuzkoa;Total;Población Total;Total;Total urbano;451.236
Gipuzkoa;Total;Población Total;Total;Zona rural;74.909
Huelva;Total;Población Total;Total;Total urbano;235.000
Huelva;Total;Población Total;Total;Zona rural;49.092
Huesca;Total;Población Total;Total;Total urbano;93.855
Huesca;Total;Población Total;Total;Zona rural;86.122
Jaén;Total;Población Total;Total;Total urbano;336.298
Jaén;Total;Población Total;Total;Zona rural;88.461
León;Total;Población Total;Total;Total urbano;197.862
León;Total;Población Total;Total;Zona rural;233.117
Lleida;Total;Población Total;Total;Total urbano;135.766
Lleida;Total;Población Total;Total;Zona rural;123.400
Rioja (La);Total;Población Total;Total;Total urbano;151.921
Rioja (La);Total;Población Total;Total;Zona rural;59.396
Lugo;Total;Población Total;Total;Total urbano;89.848
Lugo;Total;Población Total;Total;Zona rural;247.575
Madrid;Total;Población Total;Total;Total urbano;4.607.905
Madrid;Total;Población Total;Total;Zona rural;110.668
Málaga;Total;Población Total;Total;Total urbano;863.101
Málaga;Total;Población Total;Total;Zona rural;99.994
Murcia;Total;Población Total;Total;Total urbano;556.400
Murcia;Total;Población Total;Total;Zona rural;197.554
Navarra;Total;Población Total;Total;Total urbano;261.223
Navarra;Total;Población Total;Total;Zona rural;120.615
Ourense;Total;Población Total;Total;Total urbano;92.639
Ourense;Total;Población Total;Total;Zona rural;222.165
Asturias;Total;Población Total;Total;Total urbano;571.189
Asturias;Total;Población Total;Total;Zona rural;356.223
Palencia;Total;Población Total;Total;Total urbano;77.842
Palencia;Total;Población Total;Total;Zona rural;72.314
Palmas (Las);Total;Población Total;Total;Total urbano;413.613
Palmas (Las);Total;Población Total;Total;Zona rural;163.776
Pontevedra;Total;Población Total;Total;Total urbano;285.213
Pontevedra;Total;Población Total;Total;Zona rural;538.834
Salamanca;Total;Población Total;Total;Total urbano;193.879
Salamanca;Total;Población Total;Total;Zona rural;137.827
S/C Tenerife;Total;Población Total;Total;Total urbano;321.010
S/C Tenerife;Total;Población Total;Total;Zona rural;211.885
Cantabria;Total;Población Total;Total;Total urbano;254.829
Cantabria;Total;Población Total;Total;Zona rural;177.176
Segovia;Total;Población Total;Total;Total urbano;52.817
Segovia;Total;Población Total;Total;Zona rural;71.739
Sevilla;Total;Población Total;Total;Total urbano;1.281.334
Sevilla;Total;Población Total;Total;Zona rural;55.918
Soria;Total;Población Total;Total;Total urbano;32.169
Soria;Total;Población Total;Total;Zona rural;40.564
Tarragona;Total;Población Total;Total;Total urbano;276.922
Tarragona;Total;Población Total;Total;Zona rural;119.853
Teruel;Total;Población Total;Total;Total urbano;38.863
Teruel;Total;Población Total;Total;Zona rural;72.828
Toledo;Total;Población Total;Total;Total urbano;136.195
Toledo;Total;Población Total;Total;Zona rural;125.391
Valencia/València;Total;Población Total;Total;Total urbano;1.549.338
Valencia/València;Total;Población Total;Total;Zona rural;165.972
Valladolid;Total;Población Total;Total;Total urbano;358.721
Valladolid;Total;Población Total;Total;Zona rural;94.763
Bizkaia;Total;Población Total;Total;Total urbano;903.171
Bizkaia;Total;Población Total;Total;Zona rural;105.745
Zamora;Total;Población Total;Total;Total urbano;78.768
Zamora;Total;Población Total;Total;Zona rural;126.363
Zaragoza;Total;Población Total;Total;Total urbano;609.160
Zaragoza;Total;Población Total;Total;Zona rural;128.386

